date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:31:01	529/529	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20May%202022%2013:31:02%20GMT	https://valuablecointoken.vercel.app/assets/js/custom.js	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/assets/js/custom.js	(from https://valuablecointoken.vercel.app/)
01:31:02	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20May%202022%2013:31:03%20GMT	https://cdn.rawgit.com/michalsnik/aos/2.1.1/dist/aos.css	C:/Users/Home/Desktop/value/value/cdn.rawgit.com/michalsnik/aos/2.1.1/dist/aos.9.delayed	(from https://valuablecointoken.vercel.app/)
01:31:03	25983/25983	---M-Z	200	added ('OK')	text/css	etag:W/%22657f-JPG3KrqqrRZx4J3G/yvsAP326KE%22	https://cdn.jsdelivr.net/gh/michalsnik/aos@2.1.1/dist/aos.css	C:/Users/Home/Desktop/value/value/cdn.jsdelivr.net/gh/michalsnik/aos@2.1.1/dist/aos.css	(from https://valuablecointoken.vercel.app/)
01:31:03	5178/5178	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20May%202022%2013:31:04%20GMT	https://valuablecointoken.vercel.app/static/css/2.2cfd4829.chunk.css	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/static/css/2.2cfd4829.chunk.css	(from https://valuablecointoken.vercel.app/)
01:31:03	2957/2957	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20May%202022%2013:31:04%20GMT	https://valuablecointoken.vercel.app/static/css/main.009befe2.chunk.css	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/static/css/main.009befe2.chunk.css	(from https://valuablecointoken.vercel.app/)
01:31:04	14239/14239	---MCZ	200	added ('OK')	application/javascript	etag:%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/Users/Home/Desktop/value/value/unpkg.com/aos@2.3.1/dist/aos.js	(from https://valuablecointoken.vercel.app/)
01:31:04	1993700/1993700	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20May%202022%2013:31:05%20GMT	https://valuablecointoken.vercel.app/static/js/2.8e0086b7.chunk.js	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/static/js/2.8e0086b7.chunk.js	(from https://valuablecointoken.vercel.app/)
01:31:05	45741/45741	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20May%202022%2013:31:06%20GMT	https://valuablecointoken.vercel.app/static/js/main.9b77796f.chunk.js	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/static/js/main.9b77796f.chunk.js	(from https://valuablecointoken.vercel.app/)
01:31:05	47674/47674	---M--	200	added ('OK')	image/png	date:Tue,%2024%20May%202022%2013:31:06%20GMT	https://valuablecointoken.vercel.app/assets/img/d-line.png	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/assets/img/d-line.png	(from https://valuablecointoken.vercel.app/assets/css/scss/style.css)
01:31:06	27167/27167	---M--	200	added ('OK')	image/png	date:Tue,%2024%20May%202022%2013:31:06%20GMT	https://valuablecointoken.vercel.app/assets/img/d.png	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/assets/img/d.png	(from https://valuablecointoken.vercel.app/assets/css/scss/style.css)
01:31:06	18532/18532	---M--	200	added ('OK')	font/woff2	date:Tue,%2024%20May%202022%2013:31:06%20GMT	https://valuablecointoken.vercel.app/assets/fonts/AvenirLTPro-Book.woff2	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/assets/fonts/AvenirLTPro-Book.woff2	(from https://valuablecointoken.vercel.app/assets/fonts/stylesheet.css)
01:31:06	25720/25720	---M--	200	added ('OK')	font/woff	date:Tue,%2024%20May%202022%2013:31:07%20GMT	https://valuablecointoken.vercel.app/assets/fonts/AvenirLTPro-Book.woff	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/assets/fonts/AvenirLTPro-Book.woff	(from https://valuablecointoken.vercel.app/assets/fonts/stylesheet.css)
01:31:06	18516/18516	---M--	200	added ('OK')	font/woff2	date:Tue,%2024%20May%202022%2013:31:07%20GMT	https://valuablecointoken.vercel.app/assets/fonts/AvenirLTPro-Roman.woff2	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/assets/fonts/AvenirLTPro-Roman.woff2	(from https://valuablecointoken.vercel.app/assets/fonts/stylesheet.css)
01:31:06	25652/25652	---M--	200	added ('OK')	font/woff	date:Tue,%2024%20May%202022%2013:31:07%20GMT	https://valuablecointoken.vercel.app/assets/fonts/AvenirLTPro-Roman.woff	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/assets/fonts/AvenirLTPro-Roman.woff	(from https://valuablecointoken.vercel.app/assets/fonts/stylesheet.css)
01:31:07	18588/18588	---M--	200	added ('OK')	font/woff2	date:Tue,%2024%20May%202022%2013:31:07%20GMT	https://valuablecointoken.vercel.app/assets/fonts/AvenirLTPro-Medium.woff2	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/assets/fonts/AvenirLTPro-Medium.woff2	(from https://valuablecointoken.vercel.app/assets/fonts/stylesheet.css)
01:31:07	25820/25820	---M--	200	added ('OK')	font/woff	date:Tue,%2024%20May%202022%2013:31:08%20GMT	https://valuablecointoken.vercel.app/assets/fonts/AvenirLTPro-Medium.woff	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/assets/fonts/AvenirLTPro-Medium.woff	(from https://valuablecointoken.vercel.app/assets/fonts/stylesheet.css)
01:31:07	18172/18172	---M--	200	added ('OK')	font/woff2	date:Tue,%2024%20May%202022%2013:31:08%20GMT	https://valuablecointoken.vercel.app/assets/fonts/AvenirLTPro-Black.woff2	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/assets/fonts/AvenirLTPro-Black.woff2	(from https://valuablecointoken.vercel.app/assets/fonts/stylesheet.css)
01:31:07	25300/25300	---M--	200	added ('OK')	font/woff	date:Tue,%2024%20May%202022%2013:31:08%20GMT	https://valuablecointoken.vercel.app/assets/fonts/AvenirLTPro-Black.woff	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/assets/fonts/AvenirLTPro-Black.woff	(from https://valuablecointoken.vercel.app/assets/fonts/stylesheet.css)
